ObjectMappingID,SourceConnection,ObjectType,SourceSchema,SourceTable,DestinationConnection,DestinationSchema,DestinationTable,PrimaryKeyColumn,IsEnabled,IsNew
1310,ICONI,PSA_Iconi,dbo,vBIRestart_GroupSessionSessionAttendance,sql_dwh,ICONI,vBIRestart_GroupSessionSessionAttendance,Group_Session_Session_Attendance_id,1,1
1320,ICONI,PSA_Iconi,dbo,vBIRestart_GroupSessionSite,sql_dwh,ICONI,vBIRestart_GroupSessionSite,Group_Session_Site_id,1,1
1330,ICONI,PSA_Iconi,dbo,vBIRestart_Intervention,sql_dwh,ICONI,vBIRestart_Intervention,intervention_id,1,1
1340,ICONI,PSA_Iconi,dbo,vBIRestart_Intervention_Service,sql_dwh,ICONI,vBIRestart_Intervention_Service,intervention_service_id,1,1
1350,ICONI,PSA_Iconi,dbo,vBIRestart_Intervention_Service_Resources,sql_dwh,ICONI,vBIRestart_Intervention_Service_Resources,Intervention_Service_Resource_id,1,1
1360,ICONI,PSA_Iconi,dbo,vBIRestart_Intervention_Service_Site,sql_dwh,ICONI,vBIRestart_Intervention_Service_Site,intervention_service_site_id,1,1
1370,ICONI,PSA_Iconi,dbo,vBIRestart_Intervention_Session,sql_dwh,ICONI,vBIRestart_Intervention_Session,intervention_session_id,1,1
1380,ICONI,PSA_Iconi,dbo,vBIRestart_Message,sql_dwh,ICONI,vBIRestart_Message,message_id,1,1
1390,ICONI,PSA_Iconi,dbo,vBIRestart_Outcome,sql_dwh,ICONI,vBIRestart_Outcome,outcome_id,1,1
1400,ICONI,PSA_Iconi,dbo,vBIRestart_Outcome_Evidence,sql_dwh,ICONI,vBIRestart_Outcome_Evidence,outcome_evidence_id,1,1
1410,ICONI,PSA_Iconi,dbo,vBIRestart_Payment,sql_dwh,ICONI,vBIRestart_Payment,payment_id,0,1
1420,ICONI,PSA_Iconi,dbo,vBIRestart_Resource,sql_dwh,ICONI,vBIRestart_Resource,resource_id,1,1
1430,ICONI,PSA_Iconi,dbo,vBIRestart_UserAvailability,sql_dwh,ICONI,vBIRestart_UserAvailability,User_Availability_id,1,1
1440,ICONI,PSA_Iconi,dbo,vBIRestart_VacancyInterest,sql_dwh,ICONI,vBIRestart_VacancyInterest,Vacancy_Interest_id,1,1
1450,ICONI,PSA_Iconi,dbo,vBICommon_CustomerPortal,sql_dwh,ICONI,vBICommon_CustomerPortal,ind_portal_individual_id,1,1
1460,ICONI,PSA_Iconi,dbo,vBIRestart_Vacancy,sql_dwh,ICONI,vBIRestart_Vacancy,vacancy_id,1,1
1470,ICONI,PSA_Iconi,dbo,vBIRestart_VacancyExternalInfo,sql_dwh,ICONI,vBIRestart_VacancyExternalInfo,vacancy_external_info_id,0,1
1480,ICONI,PSA_Iconi,dbo,vBICommon_UserSiteAllocation,sql_dwh,ICONI,vBICommon_UserSiteAllocation,usa_user_id|usa_site_id,1,1
1490,ICONI,PSA_Iconi,dbo,vBIRestart_ActionPlan,sql_dwh,ICONI,vBIRestart_ActionPlan,ap_id,1,1
1500,ICONI,PSA_Iconi,dbo,vBIRestart_ActionPlanRelatedEntity,sql_dwh,ICONI,vBIRestart_ActionPlanRelatedEntity,apre_id,1,1
1510,ICONI,PSA_Iconi,dbo,vBIRestart_ComplianceCSSM,sql_dwh,ICONI,vBIRestart_ComplianceCSSM,compliance_cssm_id,1,1
1520,ICONI,PSA_Iconi,dbo,vBIRestart_ComplianceDTP,sql_dwh,ICONI,vBIRestart_ComplianceDTP,compliance_dtp_id,1,1
1530,ICONI,PSA_Iconi,dbo,vBIRestart_ComplianceJTP,sql_dwh,ICONI,vBIRestart_ComplianceJTP,compliance_jtp_id,1,1
1540,ICONI,PSA_Iconi,dbo,vBIRestart_ComplianceProgComp,sql_dwh,ICONI,vBIRestart_ComplianceProgComp,compliance_prog_comp_id,1,1
1550,ICONI,PSA_Iconi,dbo,vBIRestart_DocumentAcceptance,sql_dwh,ICONI,vBIRestart_DocumentAcceptance,da_engagement_id,0,1
1560,ICONI,PSA_Iconi,dbo,vBIRestart_DocumentAcceptanceActivity,sql_dwh,ICONI,vBIRestart_DocumentAcceptanceActivity,daa_id,0,1
1570,ICONI,PSA_Iconi,dbo,vBIRestart_EngagementAdvisorHistory,sql_dwh,ICONI,vBIRestart_EngagementAdvisorHistory,engagement_advisor_history_id,1,1
1580,ICONI,PSA_Iconi,dbo,vBIRestart_EngagementResource,sql_dwh,ICONI,vBIRestart_EngagementResource,engagement_resource_id,1,1
1590,ICONI,PSA_Iconi,dbo,vBIRestart_EngagementSiteHistory,sql_dwh,ICONI,vBIRestart_EngagementSiteHistory,engagement_site_history_id,1,1
1600,ICONI,PSA_Iconi,dbo,vBIRestart_EngagementStatusHistory,sql_dwh,ICONI,vBIRestart_EngagementStatusHistory,engagement_status_history_id,1,1
1610,ICONI,PSA_Iconi,dbo,vBIRestart_GroupSessionRegistration,sql_dwh,ICONI,vBIRestart_GroupSessionRegistration,group_session_registration_id,0,1
1620,ICONI,PSA_Iconi,dbo,vBIRestart_JobReadinessHistory,sql_dwh,ICONI,vBIRestart_JobReadinessHistory,job_readiness_history_id,1,1
1630,ICONI,PSA_Iconi,dbo,vBIRestart_Safeguarding,sql_dwh,ICONI,vBIRestart_Safeguarding,safeguarding_id,1,1
1640,ICONI,PSA_Iconi,dbo,vBIRestart_UserCalendarWeek,sql_dwh,ICONI,vBIRestart_UserCalendarWeek,user_calendar_week_id,1,1
2001,ICONI,PSA_Iconi,dbo,vBIRefugee_ActionPlan,sql_dwh,ICONI,vBIRefugee_ActionPlan,ap_id,1,1
2002,ICONI,PSA_Iconi,dbo,vBIRefugee_ActionPlanRelatedEntity,sql_dwh,ICONI,vBIRefugee_ActionPlanRelatedEntity,apre_id,1,1
2003,ICONI,PSA_Iconi,dbo,vBIRefugee_Assessment,sql_dwh,ICONI,vBIRefugee_Assessment,assessment_id,1,1
2004,ICONI,PSA_Iconi,dbo,vBIRefugee_AssessmentValue,sql_dwh,ICONI,vBIRefugee_AssessmentValue,assessment_value_id,1,1
2005,ICONI,PSA_Iconi,dbo,vBIRefugee_Barrier,sql_dwh,ICONI,vBIRefugee_Barrier,engagement_barrier_id,0,1
2006,ICONI,PSA_Iconi,dbo,vBIRefugee_ComplianceCSSM,sql_dwh,ICONI,vBIRefugee_ComplianceCSSM,compliance_cssm_id,0,1
2007,ICONI,PSA_Iconi,dbo,vBIRefugee_ComplianceDTP,sql_dwh,ICONI,vBIRefugee_ComplianceDTP,compliance_dtp_id,0,1
2008,ICONI,PSA_Iconi,dbo,vBIRefugee_ComplianceJTP,sql_dwh,ICONI,vBIRefugee_ComplianceJTP,compliance_jtp_id,0,1
2009,ICONI,PSA_Iconi,dbo,vBIRefugee_ComplianceProgComp,sql_dwh,ICONI,vBIRefugee_ComplianceProgComp,compliance_prog_comp_id,0,1
2010,ICONI,PSA_Iconi,dbo,vBIRefugee_Correspondence,sql_dwh,ICONI,vBIRefugee_Correspondence,correspondence_id,1,1
2011,ICONI,PSA_Iconi,dbo,vBIRefugee_DocumentAcceptance,sql_dwh,ICONI,vBIRefugee_DocumentAcceptance,da_engagement_id,0,1
2012,ICONI,PSA_Iconi,dbo,vBIRefugee_DocumentAcceptanceActivity,sql_dwh,ICONI,vBIRefugee_DocumentAcceptanceActivity,daa_id,0,1
2013,ICONI,PSA_Iconi,dbo,vBIRefugee_Doubt,sql_dwh,ICONI,vBIRefugee_Doubt,doubt_id,0,1
2014,ICONI,PSA_Iconi,dbo,vBIRefugee_DoubtRelatedActivity,sql_dwh,ICONI,vBIRefugee_DoubtRelatedActivity,doubt_related_activity_id,0,1
2015,ICONI,PSA_Iconi,dbo,vBIRefugee_Engagement,sql_dwh,ICONI,vBIRefugee_Engagement,engagement_id,1,1
2016,ICONI,PSA_Iconi,dbo,vBIRefugee_EngagementAdvisorHistory,sql_dwh,ICONI,vBIRefugee_EngagementAdvisorHistory,engagement_advisor_history_id,1,1
2017,ICONI,PSA_Iconi,dbo,vBIRefugee_EngagementResource,sql_dwh,ICONI,vBIRefugee_EngagementResource,engagement_resource_id,0,1
2018,ICONI,PSA_Iconi,dbo,vBIRefugee_EngagementSiteHistory,sql_dwh,ICONI,vBIRefugee_EngagementSiteHistory,engagement_site_history_id,1,1
2019,ICONI,PSA_Iconi,dbo,vBIRefugee_EngagementStatusHistory,sql_dwh,ICONI,vBIRefugee_EngagementStatusHistory,engagement_status_history_id,1,1
2020,ICONI,PSA_Iconi,dbo,vBIRefugee_Expense,sql_dwh,ICONI,vBIRefugee_Expense,expense_id,1,1
2021,ICONI,PSA_Iconi,dbo,vBIRefugee_Feedback,sql_dwh,ICONI,vBIRefugee_Feedback,Feedback_id,0,1
2022,ICONI,PSA_Iconi,dbo,vBIRefugee_GroupSession,sql_dwh,ICONI,vBIRefugee_GroupSession,group_session_id,1,1
2024,ICONI,PSA_Iconi,dbo,vBIRefugee_GroupSessionSession,sql_dwh,ICONI,vBIRefugee_GroupSessionSession,group_session_session_id,1,1
2025,ICONI,PSA_Iconi,dbo,vBIRefugee_GroupSessionSessionAttendance,sql_dwh,ICONI,vBIRefugee_GroupSessionSessionAttendance,group_session_session_attendance_id,1,1
2026,ICONI,PSA_Iconi,dbo,vBIRefugee_GroupSessionSite,sql_dwh,ICONI,vBIRefugee_GroupSessionSite,group_session_site_id,1,1
2027,ICONI,PSA_Iconi,dbo,vBIRefugee_Intervention,sql_dwh,ICONI,vBIRefugee_Intervention,intervention_id,1,1
2028,ICONI,PSA_Iconi,dbo,vBIRefugee_Intervention_Service,sql_dwh,ICONI,vBIRefugee_Intervention_Service,intervention_service_id,1,1
2029,ICONI,PSA_Iconi,dbo,vBIRefugee_Intervention_Service_Resources,sql_dwh,ICONI,vBIRefugee_Intervention_Service_Resources,intervention_service_resource_id,1,1
2030,ICONI,PSA_Iconi,dbo,vBIRefugee_Intervention_Service_Site,sql_dwh,ICONI,vBIRefugee_Intervention_Service_Site,intervention_service_site_id,1,1
2031,ICONI,PSA_Iconi,dbo,vBIRefugee_Intervention_Session,sql_dwh,ICONI,vBIRefugee_Intervention_Session,intervention_session_id,1,1
2032,ICONI,PSA_Iconi,dbo,vBIRefugee_JobReadinessHistory,sql_dwh,ICONI,vBIRefugee_JobReadinessHistory,job_readiness_history_id,1,1
2033,ICONI,PSA_Iconi,dbo,vBIRefugee_Meeting,sql_dwh,ICONI,vBIRefugee_Meeting,meeting_id,1,1
2034,ICONI,PSA_Iconi,dbo,vBIRefugee_Message,sql_dwh,ICONI,vBIRefugee_Message,message_id,1,1
2035,ICONI,PSA_Iconi,dbo,vBIRefugee_Outcome,sql_dwh,ICONI,vBIRefugee_Outcome,outcome_id,1,1
2036,ICONI,PSA_Iconi,dbo,vBIRefugee_Outcome_Evidence,sql_dwh,ICONI,vBIRefugee_Outcome_Evidence,outcome_evidence_id,1,1
2037,ICONI,PSA_Iconi,dbo,vBIRefugee_Payment,sql_dwh,ICONI,vBIRefugee_Payment,payment_id,0,1
2038,ICONI,PSA_Iconi,dbo,vBIRefugee_ProjectSite,sql_dwh,ICONI,vBIRefugee_ProjectSite,project_site_id,1,1
2039,ICONI,PSA_Iconi,dbo,vBIRefugee_Resource,sql_dwh,ICONI,vBIRefugee_Resource,resource_id,1,1
2040,ICONI,PSA_Iconi,dbo,vBIRefugee_Safeguarding,sql_dwh,ICONI,vBIRefugee_Safeguarding,safeguarding_id,1,1
2041,ICONI,PSA_Iconi,dbo,vBIRefugee_Site,sql_dwh,ICONI,vBIRefugee_Site,site_id,1,1
2042,ICONI,PSA_Iconi,dbo,vBIRefugee_UserAvailability,sql_dwh,ICONI,vBIRefugee_UserAvailability,user_availability_id,1,1
2043,ICONI,PSA_Iconi,dbo,vBIRefugee_UserCalendarWeek,sql_dwh,ICONI,vBIRefugee_UserCalendarWeek,user_calendar_week_id,1,1
2044,ICONI,PSA_Iconi,dbo,vBIRefugee_Vacancy,sql_dwh,ICONI,vBIRefugee_Vacancy,vacancy_id,0,1
2046,ICONI,PSA_Iconi,dbo,vBIRefugee_VacancyInterest,sql_dwh,ICONI,vBIRefugee_VacancyInterest,vacancy_interest_id,1,1
80,ADAPT,PSA_Adapt,dbo,PROP_QUESTION_GEN,sql_dwh,ADAPT,PROP_QUESTION_GEN,ID,1,1
200,MIDATA,PSA_MIData,dbo,FCWHP_MainTable,sql_dwh,MIDATA,FCWHP_MainTable,RecordID,1,1
201,MIDATA,PSA_MIData,dbo,FCWHP_Module1ReqTable,sql_dwh,MIDATA,FCWHP_Module1ReqTable,RecordID,1,1
202,MIDATA,PSA_MIData,dbo,FCWHP_MonthTable,sql_dwh,MIDATA,FCWHP_MonthTable,RecordID,1,1
203,MIDATA,PSA_MIData,dbo,vw_LUSYS_AllUsers,sql_dwh,MIDATA,vw_LUSYS_AllUsers,ID,1,1
204,MIDATA,PSA_MIData,dbo,vw_CPN_Combined,sql_dwh,MIDATA,vw_CPN_Combined,RecordID,1,1
205,MIDATA,PSA_MIData,dbo,WHPCPN_MainTable,sql_dwh,MIDATA,WHPCPN_MainTable,RecordId,1,1
206,MIDATA,PSA_MIData,dbo,PROVNET_MainTable,sql_dwh,MIDATA,PROVNET_MainTable,RecordId,1,1
207,MIDATA,PSA_MIData,dbo,PROVNET_InterventionsTable,sql_dwh,MIDATA,PROVNET_InterventionsTable,RecordId,1,1
208,MIDATA,PSA_MIData,dbo,WHPCPN_FeedbackTable,sql_dwh,MIDATA,WHPCPN_FeedbackTable,RecordId,1,1
209,MIDATA,PSA_MIData,dbo,LUSYS_WHPCPN_Providers,sql_dwh,MIDATA,LUSYS_WHPCPN_Providers,ID,1,1
500,BOTINSIGHT,PSA_BotInsight,dbo,RPA_ROI_Report,sql_dwh,BOTINSIGHT,RPA_ROI_Report,Bot_Identfier,1,1
