ParentDataFactory,SubscriptionID,ResourceGroup,ChildDataFactory,Pipeline
UKMAXBIDEVDF01,3c4f6c99-9aa9-4b70-841e-b1254363a852,UKMAXBIDEVRG,UKMAXBIDEVDTBRKSDF01,PL_PSA_LOAD
UKMAXBITESTDF01,3c4f6c99-9aa9-4b70-841e-b1254363a852,UKMAXBIDEVRG,UKMAXBITESTDTBRKSDF01,PL_PSA_LOAD_NEW
UKMAXBIPRODDF01,99b75a3e-54a8-4af2-a972-c5d9755bd9b2,UKMAXBIPRODRG,UKMAXBIPRODDTBRKSDF01,PL_PSA_LOAD_NEW
UKMAXBIpreprodDatawarehouseDatafactory,3a64a911-0f4b-43b9-b631-565eb9a03845,UKMAXBIpreprodResourceGroup,UKMAXBIpreprodDatawarehouseDataBricks,PL_PSA_LOAD_NEW
UKMAXBIciDatawarehouseDatafactory,3a64a911-0f4b-43b9-b631-565eb9a03845,UKMAXBIciResourceGroup,UKMAXBIciDatawarehouseDataBricks,PL_PSA_LOAD
ukmaxbidevsynapse,3c4f6c99-9aa9-4b70-841e-b1254363a852,UKMAXBIDEVRG,UKMAXBIDEVDTBRKSDF01,PL_PSA_LOAD
ukmaxbitestsynapse,3c4f6c99-9aa9-4b70-841e-b1254363a852,UKMAXBITESTRG,UKMAXBITESTDTBRKSDF01,PL_PSA_LOAD
ukmaxbiprodsynapse,99b75a3e-54a8-4af2-a972-c5d9755bd9b2,UKMAXBIPRODRG,UKMAXBIPRODDTBRKSDF01,PL_PSA_LOAD
ukmaxbipreprodsynapse,3a64a911-0f4b-43b9-b631-565eb9a03845,UKMAXBIpreprodResourceGroup,UKMAXBIpreprodDatawarehouseDataBricks,PL_PSA_LOAD
ukmaxbicisynapse,3a64a911-0f4b-43b9-b631-565eb9a03845,UKMAXBIciResourceGroup,UKMAXBIciDatawarehouseDataBricks,PL_PSA_LOAD